id_funcionario,id_loja,nome_funcionario,passaporte_funcionario,situacao_funcionario,cargo_funcionario,salario_funcionario
265,64,"Fonseca, Noah",1V874QNP4,CONTRATADO,VENDEDOR,5.463105220179607e-4
266,1,"Rojas, Raquel",UNFT9G2B3,CONTRATADO,VENDEDOR,1.0020405306565956e-4
267,3,"Medina, Brook",V0XZSE9TL,CONTRATADO,VENDEDOR,4.513552889059831e-4
268,32,"Flath, Maribel",7AJGYD2YJ,CONTRATADO,VENDEDOR,8.025108265697707e-6
269,49,"Chavez, Jessica",M4CSWO5BG,CONTRATADO,VENDEDOR,3.290596410464097e-4
270,61,"Martinez, Daniel",LRY7NZ794,CONTRATADO,VENDEDOR,1.0536328814923764e-4
271,76,"Hernandez, Martin",QUR9YQYLY,DESLIGADO,VENDEDOR,3.6798306366611015e-4
272,41,"Chavez, Pedro",424210HA8,CONTRATADO,GERENTE,1.5590721145272257e-4
273,3,"Valdez, Destiney",10KARQNUS,PESSOA JURIDICA,VENDEDOR,7.926502622327902e-4
274,22,"Merino, Rosa",CTV54ZO6M,CONTRATADO,VENDEDOR,2.6129331663250923e-4
275,55,"Rivera-Herrera, Adelina",VTI9IKWOG,DESLIGADO,GERENTE,3.731128149793752e-4
276,29,"Salcido, Elijah",692W5XI03,DESLIGADO,GERENTE,6.900261770933866e-5
277,26,"Martinez, Ariana",3GLUZC5EL,PESSOA JURIDICA,VENDEDOR,1.1064573153853417e-4
278,76,"Mendez, Adrian",94FFBE3TQ,CONTRATADO,VENDEDOR,4.9944388461209124e-5
279,41,"Ramos, Daniel",WF84V82Z5,CONTRATADO,VENDEDOR,1.7420526801340534e-4
280,23,"Macias, Francisco",R2YJJWYC0,CONTRATADO,GERENTE,2.2344019021838904e-4
281,60,"Blea, Shanice",75KOG5GCE,CONTRATADO,GERENTE,7.004921473226644e-4
282,19,"Medina, Alexander",P0CISYHOX,CONTRATADO,VENDEDOR,1.8485924322158098e-4
283,39,"Fierro, Miguel",HJUC4CLAL,CONTRATADO,VENDEDOR,2.3098954837769272e-4
284,3,"Hickman, Joana",X8R9MWVDD,CONTRATADO,VENDEDOR,6.566403107950442e-5
285,52,"Carrillo-Marks, Tyler",ZS18V0V80,CONTRATADO,VENDEDOR,6.5384754911065105e-6
286,94,"Marquez, Ana",J9WJG4Q0H,CONTRATADO,VENDEDOR,6.737962215802766e-4
287,58,"Gutierrez-Ochoa, Ramon",LUIYN3EOP,CONTRATADO,VENDEDOR,0.0010771503473406031
288,52,"Gallegos, David",QXZL8E6H2,DESLIGADO,GERENTE,6.323830097054447e-4
289,19,"Lopez Martinez, Clarissa",OZAGO4Z9H,DESLIGADO,VENDEDOR,6.356304213068582e-4
290,92,"Bustos, Seth",EP3VGHVDI,PESSOA JURIDICA,GERENTE,7.534914247355559e-4
291,76,"Carbajal, Brianna",PHWGU885T,DESLIGADO,GERENTE,0.0010479390166195776
292,44,"Trujillo, Jorge",PYU4T8V5C,CONTRATADO,VENDEDOR,8.794049374255087e-4
293,17,"Abeyta, Ethel",DU7SDG6YH,DESLIGADO,VENDEDOR,7.15878798055739e-4
294,54,"Mejia, Gabriela",6QEI02NG7,CONTRATADO,GERENTE,1.0199570767581464e-4
295,10,"Vigil, Jeneice",DPTWN2M1M,CONTRATADO,GERENTE,3.3134117720830925e-4
296,50,"Alejandro, Monique",BUZ4Y6E4D,CONTRATADO,GERENTE,1.9768271576613188e-4
297,84,"Ramon, Weston",B3J1RWGRZ,CONTRATADO,VENDEDOR,1.339328270405531e-4
298,27,"Bacon, Kathryn",VLK28KOSB,CONTRATADO,VENDEDOR,3.915569276304059e-4
299,54,"Marquez, Sergio",0GL748MGC,CONTRATADO,GERENTE,6.415701917967893e-4
300,52,"Benitez, Roberto",LWEO3VI1D,CONTRATADO,GERENTE,3.647363252769757e-4
301,7,"Curiel, Maria",661V97CJI,CONTRATADO,GERENTE,5.131504349242498e-4
302,79,"Rojas, Hannah",VTZIDOPBP,CONTRATADO,VENDEDOR,3.415774077818102e-4
303,96,"Miranda, Jordan",L9XP8LIT3,CONTRATADO,VENDEDOR,1.2132213493683884e-4
304,73,"Ortiz, Sonia",BH4ZOFL6K,CONTRATADO,VENDEDOR,4.0078462658812124e-4
305,74,"Sierra Cobos, Raylene",O7LR3XH5S,CONTRATADO,VENDEDOR,5.6960491331919354e-5
306,66,"Perez Torres, Alfonso",XJUNN5PY3,CONTRATADO,VENDEDOR,8.947433614312975e-6
307,94,"Orona Sonora, Melissa",3XE1HY50B,CONTRATADO,VENDEDOR,9.501023050126749e-4
308,56,"Apodaca, Yudi",D8DBQUHRU,CONTRATADO,GERENTE,1.555467188358307e-4
309,18,"Sandoval Romero, William",C6DK96X71,CONTRATADO,VENDEDOR,0.0014829075417572503
310,62,"Quiroz Guadarrama, Gabrielle",AYZ721P35,CONTRATADO,VENDEDOR,3.879646584391594e-6
311,13,"Ruiz, Jasmine",TC8R3UKBV,CONTRATADO,VENDEDOR,1.575244225561619e-4
312,79,"Herrera, Gilberto",3SE9IKKSQ,CONTRATADO,GERENTE,0.00035711511632615164
313,31,"Soto, Aileen",D6I3HHFEO,CONTRATADO,VENDEDOR,6.30465440208784e-5
314,11,"Guzman, Enrique",XLUJWT2YT,CONTRATADO,VENDEDOR,4.925453625451375e-4
315,91,"Roque, Cristal",A8464T40R,CONTRATADO,VENDEDOR,1.5028046276420356e-4
316,67,"Soto Delgado, Anthony",0COQ0NK4K,CONTRATADO,GERENTE,2.7863445466566573e-4
317,44,"Morales, Zuriel",GZ4R5WFK4,CONTRATADO,VENDEDOR,2.1005134824663403e-4
318,29,"Mortensen, Luis",RCU0JC1HW,DESLIGADO,VENDEDOR,1.2582311145961287e-4
319,1,"Flores, Frank",0YIQYPENE,CONTRATADO,VENDEDOR,6.356139901731536e-4
320,32,"Esparza-Guillen, Matthew",UY3V08FEA,CONTRATADO,VENDEDOR,5.515916783194591e-4
321,20,"Vargas, Ivan",FNQI3D6T3,DESLIGADO,VENDEDOR,5.620891935787298e-4
322,59,"Thomas, Matthew",ORRQKWBLY,PESSOA JURIDICA,VENDEDOR,1.3539696062981807e-4
323,28,"Delacruz-Arreola, Kassandra",7ZRQ7IW4Q,CONTRATADO,VENDEDOR,7.098009977381594e-4
324,23,"Disparti, Elizabeth",TDT4HRK33,DESLIGADO,VENDEDOR,5.25830234641667e-5
325,45,"Flores, Leslie",VPMLLR67R,CONTRATADO,VENDEDOR,4.4546386448848736e-4
326,70,"Hinojos Vazquez, Adilene",P4M5GTZEW,CONTRATADO,GERENTE,8.963027633222487e-4
327,51,"Becerril, Abigail",1DRCKPN0U,CONTRATADO,GERENTE,3.0699824829369144e-4
328,35,"Olsen, Jonathan",8LNT7RUQ6,PESSOA JURIDICA,GERENTE,3.365992812031636e-4
329,5,"Sanchez, Mario",347M9RJWJ,CONTRATADO,GERENTE,5.268045894633581e-4
330,47,"Rodriguez, Leslyann",ZWH91MMQQ,CONTRATADO,VENDEDOR,2.833510614763547e-4
331,49,"Lucero, Nicole",RUQ7IAJE3,CONTRATADO,VENDEDOR,8.51910011228051e-5
332,9,"Baca, Gregory",87TMU3FMF,CONTRATADO,VENDEDOR,1.1425114199519158e-4
333,54,"Otero, Christopher",4SVR8LTHF,CONTRATADO,VENDEDOR,0.0010577968097719099
334,42,"Medina Castillo, Jeanny",S09QVBP10,CONTRATADO,VENDEDOR,9.416188321503546e-4
335,91,"Galindo, Jairo",BUNQAZQB7,CONTRATADO,VENDEDOR,4.177057202557331e-4
336,77,"Diaz, Miguel",PLFNV1I5G,CONTRATADO,VENDEDOR,6.519469536504842e-4
337,15,"Perea Williams, Dallas",N4R4W47VH,CONTRATADO,GERENTE,3.611637968401957e-4
338,73,"Martinez, Karen",EVXU9PX6W,CONTRATADO,GERENTE,7.301720454952814e-4
339,19,"Solares, Alexander",PZF449CL7,CONTRATADO,GERENTE,2.984556626360465e-4
340,70,"Roche, Alex",555Q2JKTP,CONTRATADO,GERENTE,5.467724684457828e-4
341,74,"Vaneaton, Rubi",Z6V3Z3FU3,CONTRATADO,VENDEDOR,2.504086174070835e-4
342,28,"Hernandez, David",XI4UUNW8Z,CONTRATADO,GERENTE,9.285869151241406e-6
343,16,"Sanchez, Dominique",A4WM7CZQX,CONTRATADO,VENDEDOR,3.147559635173131e-4
344,20,"Rojo, Katherine",Z5MCTTJUF,CONTRATADO,VENDEDOR,7.745075272163806e-4
345,4,"Galindo, Joe",2VW99QD2R,CONTRATADO,VENDEDOR,6.31526280194521e-5
346,37,"Munoz-Saldivar, Yadira",0NAPLULOC,PESSOA JURIDICA,VENDEDOR,2.849495835434247e-4
347,5,"Carranco, Alexa",IXAQGZ0P1,PESSOA JURIDICA,VENDEDOR,1.9973826836794617e-4
348,96,"Damian, Luis",J0PYNUQSU,DESLIGADO,GERENTE,1.7780575901269913e-6
349,27,"Rodriguez, Jennifer",6H9N42WUH,CONTRATADO,VENDEDOR,6.126478053293325e-4
350,92,"Nieto-Rushton, Jynessa",MWZ1BX1BP,CONTRATADO,VENDEDOR,6.10862439781266e-4
351,26,"Martinez, Aldo",VQQL4M2IG,CONTRATADO,VENDEDOR,2.336216226220131e-4
352,42,"Greiman, Emma",IDV1RN8Y2,CONTRATADO,GERENTE,6.083790079239609e-4
353,32,"Cerda, Corey",8OS01T2OB,CONTRATADO,VENDEDOR,2.6733592823147774e-4
354,86,"Macias Vargas, Michael",JFRWMYPA8,CONTRATADO,GERENTE,4.9411113373935225e-5
355,70,"Trujillo, Nico",6NHQ3753E,CONTRATADO,VENDEDOR,1.7463885508477687e-4
356,44,"Duran, Missael",K2IAUUBA2,PESSOA JURIDICA,VENDEDOR,8.081483763402909e-4
357,29,"Calvo, Melissa",JHF48XWR9,DESLIGADO,VENDEDOR,1.4704741332679987e-4
358,20,"Luevano Mendoza, Nathaniel",4NTBUPCWG,CONTRATADO,VENDEDOR,1.061616912488668e-4
359,87,"Vasquez, Jovaun",5MI86QS33,CONTRATADO,VENDEDOR,1.5458348952233792e-4
360,27,"Phillips, Fernando",C4FH6A7E7,CONTRATADO,VENDEDOR,1.5689782164990903e-4
361,21,"Ruiz, Juan",FKXOT2DHU,DESLIGADO,VENDEDOR,3.571700800042201e-4
362,31,"Valadez, Juan",YMPDS209G,PESSOA JURIDICA,GERENTE,3.1521317921578886e-5
363,11,"Aragon, Fernando",RJGZRCDFU,CONTRATADO,GERENTE,6.169095439834324e-4
364,50,"Lopez Espinal, Tiffany",UV3PZGBTV,CONTRATADO,VENDEDOR,5.650257334703734e-4
365,46,"Avila, Eugene",83BR3EJSO,CONTRATADO,VENDEDOR,2.435821244493127e-4
366,38,"Sacayon, Johnny",EVLF1RFLR,CONTRATADO,VENDEDOR,4.0170422541871664e-4
367,45,"Cordova, Sonia",FSGGHJ7NG,DESLIGADO,VENDEDOR,8.345536298881515e-6
368,41,"Acosta, Gabriela",MRTTKGY2D,CONTRATADO,VENDEDOR,5.162201508711625e-4
369,87,"Villa, Alberto",772F4YFWS,CONTRATADO,GERENTE,6.146099921315908e-5
370,57,"Cota Ramirez, Anthony",IWP723TFV,CONTRATADO,VENDEDOR,3.6768737199145745e-4
371,5,"Gonzalez, Edgar",WD1OVE7A9,CONTRATADO,VENDEDOR,5.18992850912695e-4
372,96,"Arana-Carrera, C'Elle",HES9Q7W49,CONTRATADO,GERENTE,8.911207727090435e-5
373,94,"Perez, Savannah",HRLL95G58,CONTRATADO,VENDEDOR,2.4972564205527306e-4
374,83,"Navejas, Anthony",0X5EEPCXQ,PESSOA JURIDICA,VENDEDOR,4.3078297821987164e-4
375,16,"Casarez, Julian",YSKLWHW5U,CONTRATADO,GERENTE,4.5286350511014466e-5
376,79,"Casillas, Malachi",NMV4K24NG,CONTRATADO,VENDEDOR,8.798357387681755e-5
377,37,"Vallejo, Priscila",SJYEWNXOU,DESLIGADO,VENDEDOR,3.9571397937834266e-5
378,40,"Silva-Alvarez, Alexia",IZDOH1R0Y,CONTRATADO,VENDEDOR,5.4416579939424996e-5
379,62,"Peinado Maldonado, Martin",ZS4G8UE8F,DESLIGADO,VENDEDOR,0.001139002671820869
380,63,"Montoya Sotelo, Shane",KH90FSC7K,DESLIGADO,GERENTE,3.120524272154618e-4
381,22,"Lopez, David",QUJ3SQ63N,CONTRATADO,VENDEDOR,2.872340556250618e-4
382,8,"Newell, Trestan",M2076IUP7,CONTRATADO,VENDEDOR,3.4127881681076885e-4
383,4,"Holguin, Marie",R5TPC5P8N,PESSOA JURIDICA,VENDEDOR,5.634280453605618e-4
384,94,"Hernandez, Jacinda",9O5V0N9T9,CONTRATADO,VENDEDOR,3.8520178705666046e-4
385,11,"Padilla, Jesus",4XYDLO6VT,DESLIGADO,GERENTE,9.974363270195686e-5
386,54,"Rivera, Blanca",OFGRCZWG3,PESSOA JURIDICA,VENDEDOR,1.2728175519716704e-4
387,100,"Marin-Perez, April",YB9DH7SLL,PESSOA JURIDICA,GERENTE,0.001823829646307736
388,14,"Avery, Isabel",M29MZX06E,CONTRATADO,GERENTE,7.087902560494043e-4
389,1,"Benjamin, Paola",IZF1OFXL6,CONTRATADO,VENDEDOR,1.152887450531125e-4
390,81,"Avena, Augusto",PN51A2P7P,CONTRATADO,GERENTE,9.40364671448126e-4
391,20,"Bonilla, Killian",8CUJBYQZI,CONTRATADO,VENDEDOR,3.559442533928011e-4
392,66,"Urdiales, Juan",7068U37P7,CONTRATADO,GERENTE,3.11386039565855e-4
393,9,"Lugo-Maestas, Jose",I1RWUN3G5,PESSOA JURIDICA,VENDEDOR,2.0074600707739593e-4
394,78,"Ventura-Gasca, Troy",RJYR1ORUK,CONTRATADO,GERENTE,8.466396830471899e-4
395,3,"Mendoza-Rios, Alan",X0UFESD2X,CONTRATADO,VENDEDOR,2.952897775750209e-4
396,33,"Carrillo, Gerardo",B5GR6KJSI,DESLIGADO,VENDEDOR,5.151945806871702e-4
397,97,"Fajardo, Evelina",CI0IW777R,CONTRATADO,GERENTE,2.4185818266123535e-4
398,1,"Garnes, Mathew",CWP9QZ44M,CONTRATADO,VENDEDOR,1.7481430862098933e-4
399,36,"Carrillo Terrones, Adriana",UNPI7ZF7R,CONTRATADO,GERENTE,2.7179997935891155e-4
400,12,"Mora, Christopher",DOFR4MBG8,CONTRATADO,VENDEDOR,9.70362894578097e-5
401,78,"Saldana, Chastity",GEQGUHSS9,CONTRATADO,VENDEDOR,1.7454624860604293e-4
402,45,"Perez, Clarissa",YPUN62LS5,PESSOA JURIDICA,VENDEDOR,1.521194651722908e-4
403,47,"Martinez, Beatriz",IRIY6WUPZ,DESLIGADO,GERENTE,1.265098673330077e-4
404,84,"Desantiago, Ericka",DJKH453DS,CONTRATADO,GERENTE,2.8293928105541273e-4
405,39,"Duran, Cody",SDY3006E4,PESSOA JURIDICA,VENDEDOR,9.096813834699538e-4
406,5,"Bueno, Marguerite",R5DS4D3D7,CONTRATADO,VENDEDOR,4.681093662809183e-4
407,13,"Martinez, Angelica",JKR53AL92,CONTRATADO,GERENTE,3.235795068858136e-4
408,71,"Aquino-Benitez, Kayla",XRTOQ5SP9,CONTRATADO,VENDEDOR,0.0016444749794060237
409,46,"Talesnick, Melisa",DP1D07RUO,CONTRATADO,VENDEDOR,1.3186921868473293e-4
410,36,"Pacheco, Ruben",DCVP4SDM7,CONTRATADO,VENDEDOR,4.405114669184734e-4
411,29,"Elias Santamaria, Josue",JBIX9SQ1W,PESSOA JURIDICA,VENDEDOR,3.8739489836800585e-4
412,20,"Rodriquez, Alexis",ZWUZSXRI4,CONTRATADO,GERENTE,1.6345022893240912e-4
413,29,"Griego IV, Kiana",1C1BQGAI9,CONTRATADO,VENDEDOR,1.4601158238947392e-4
414,91,"Castillo, Keshla",6WE7UR6DZ,CONTRATADO,VENDEDOR,1.0773960668593645e-4
415,84,"Carranza, Jasmine",27M1KPKE0,CONTRATADO,VENDEDOR,7.377349380403758e-5
416,53,"Godinez-Salmeron, Adrian",DTET4AEBM,CONTRATADO,VENDEDOR,3.301140852272511e-5
417,93,"Casarez, Alexis",TLOTW4QV5,DESLIGADO,VENDEDOR,5.071381117980529e-4
418,33,"Alonzo, Fabian",8QC39R6US,CONTRATADO,VENDEDOR,2.744355982169509e-4
419,20,"Leon, Tannia",71XXYUBWS,CONTRATADO,GERENTE,5.524608142505933e-4
420,59,"Floresescudero, Omar",9S5PY0ZBF,CONTRATADO,VENDEDOR,5.151455386410698e-4
421,80,"Jimenez, Isaiah",BDZ7QYWUK,CONTRATADO,VENDEDOR,4.1893522551465524e-4
422,39,"Vargas, Jose",8DFGNYTDV,DESLIGADO,GERENTE,0.0015563593766743187
423,20,"Mccoy, Juanita",OFEZD48MR,CONTRATADO,VENDEDOR,6.479086615145207e-5
424,51,"Cob, Miguel",VII09NODK,CONTRATADO,VENDEDOR,5.3762196351387404e-5
425,8,"Martinez, Jordan",6SJLMW0IR,CONTRATADO,VENDEDOR,5.305214956453101e-4
426,3,"Lasco, Kenya",ZODUCIAYV,DESLIGADO,VENDEDOR,4.1925578413713467e-4
427,72,"Romo, Jose",JBFPKJEGX,CONTRATADO,GERENTE,3.3256283216178416e-5
428,29,"Camargo, Daisy",NBZXMABWE,CONTRATADO,GERENTE,8.921624101194288e-4
429,44,"Coffelt, Vincent",E2UAXF95A,CONTRATADO,GERENTE,1.373425489142955e-4
430,59,"Morales-Mendoza, Kaylee",NKXIV0MP0,CONTRATADO,GERENTE,1.200524564832449e-4
431,6,"Gaona, Gerald",8IHCNKFK7,CONTRATADO,VENDEDOR,5.575332653086259e-4
432,25,"Lazos, Alexis",VQYGGALY4,CONTRATADO,VENDEDOR,3.7378723545182236e-4
433,45,"Quinones, Jared",XSKZC4SS7,DESLIGADO,GERENTE,4.660979024897863e-4
434,38,"Elizalde Villa, Keishla",SZLV1WMY3,CONTRATADO,VENDEDOR,6.734988204937589e-5
435,75,"Garcia, William",BBGG95R70,CONTRATADO,VENDEDOR,1.6171930711716414e-4
436,67,"Ibarra, Matthew",5FWGM8O5U,CONTRATADO,GERENTE,1.8386113792657853e-4
437,95,"Clark, Jennifer",AT5W9EQ7G,CONTRATADO,VENDEDOR,1.3383064374493408e-4
438,26,"Freyta, Greyson",T83ELV3W9,CONTRATADO,GERENTE,5.848533307229458e-5
439,55,"Jiron, Benjamin",5UI6LK2MN,CONTRATADO,VENDEDOR,3.367220695893813e-4
440,83,"Martinez, Jaime",J7FMKAVG2,CONTRATADO,GERENTE,2.2154611535370351e-4
441,40,"Flores, Cynthia",MIM7S97TA,PESSOA JURIDICA,GERENTE,0.0013705609767956928
442,14,"Vazquez, Gia",NIH81NTAV,CONTRATADO,VENDEDOR,0.0012702771104791534
443,38,"Gonzales, Jessica",M5BGRTZKI,CONTRATADO,VENDEDOR,9.291858788957142e-5
444,25,"Zarate, Matthew",PHOJISOGM,CONTRATADO,VENDEDOR,2.3100972902029754e-4
445,46,"Prieto, Zaira",8RI5G0JXC,CONTRATADO,VENDEDOR,3.876118881285992e-4
446,57,"Canche, Stephanie",5IRO7F2SD,CONTRATADO,VENDEDOR,7.48650079186926e-4
447,47,"Tellez, Oscar",FR9VRSGE5,CONTRATADO,VENDEDOR,3.9418034374893464e-4
448,59,"Garcia, Miguel",OKZBJYEQO,PESSOA JURIDICA,GERENTE,0.001100056143799677
449,57,"Mendoza, Elda",2QQ4NOSD0,DESLIGADO,VENDEDOR,7.294070105999709e-5
450,75,"Archibeque, Justin",BY39ZAOEX,CONTRATADO,GERENTE,2.9301008021641263e-4
451,20,"Saucedo, Jazmin",1IYSNW4L0,CONTRATADO,VENDEDOR,2.118024978786707e-4
452,90,"Bernal, Amanda",G814J4OIP,CONTRATADO,VENDEDOR,3.9824278466403484e-5
453,56,"Luna, Miguel",HF9IHYLD9,CONTRATADO,VENDEDOR,1.6223161313682794e-4
454,13,"Camacho, Rachel",PF5NPONK1,PESSOA JURIDICA,VENDEDOR,2.3030357587410425e-5
455,70,"Torres Zavala, Lilstar",K0A7VAATC,PESSOA JURIDICA,VENDEDOR,9.556852836889958e-4
456,32,"Garcia, Jazzmen",04OD69Y1K,PESSOA JURIDICA,GERENTE,3.053100310097981e-4
457,23,"Lugo, Mayra",OHR49TT05,CONTRATADO,VENDEDOR,3.417069375346948e-4
458,70,"Lucero, Jessica",0IF6RS84R,CONTRATADO,VENDEDOR,4.040673451173129e-4
459,52,"Juarez, Joshua",34ZHSB17R,CONTRATADO,GERENTE,1.1252388581633568e-4
460,54,"Cruz, Maribi",UN8D7CCSV,CONTRATADO,VENDEDOR,7.805699251256087e-4
461,27,"Rodriguez, Amelia",RRH9TKPDN,CONTRATADO,GERENTE,9.619991052895785e-5
462,77,"Garcia, Shauntae",AEI45JA6C,PESSOA JURIDICA,VENDEDOR,7.400064077228308e-5
463,89,"Palacio, Luis",57ZBMIODP,PESSOA JURIDICA,VENDEDOR,4.968751177023698e-4
464,4,"Brizuela, Maegane",QRT5A2YL2,CONTRATADO,VENDEDOR,4.500322658568621e-5
465,48,"Garcia Quezada, Timothy",5DOQX727G,CONTRATADO,VENDEDOR,1.4484663092214394e-4
466,84,"Jimenez-Payan, Marly",07X2AKGJF,CONTRATADO,VENDEDOR,8.681585956364871e-5
467,94,"Lovato, Edgar",ZIHKOWJIO,DESLIGADO,GERENTE,5.143618792245041e-5
468,42,"Garcia, Joanna",OXIRI1BLU,CONTRATADO,VENDEDOR,1.2338930778205395e-4
469,56,"Ruiz, Brandon",PKSLIBTRJ,CONTRATADO,GERENTE,6.420321377405283e-5
470,40,"Flores-Rodriguez, Brandy",ZVKCSOSKP,CONTRATADO,GERENTE,0.0010823085493835356
471,61,"Martinez, Domanique",I662SOJWT,CONTRATADO,VENDEDOR,2.0974994190037252e-4
472,24,"Mendez, Tamara",QSOWRJEU8,CONTRATADO,VENDEDOR,6.328429027891211e-4
473,66,"Rodriguez, Jeremy",CE4CVLWF9,CONTRATADO,GERENTE,3.812184993537766e-4
474,28,"Melgosa, Alec",8XF652XFC,DESLIGADO,VENDEDOR,2.8814852264212116e-4
475,16,"Roman, Brenda",H7PLCC9ZL,CONTRATADO,VENDEDOR,6.630570592111839e-4
476,10,"Rodriguez, Roberto",6BIR1OTD8,CONTRATADO,VENDEDOR,7.433074630460836e-4
477,67,"Berdeja Renteria, Ana",UAKHWM3SF,PESSOA JURIDICA,VENDEDOR,2.9593909232128153e-4
478,76,"Pineda, Felix",623VG2V49,CONTRATADO,VENDEDOR,4.7618928475487725e-4
479,4,"Sotelo, Deisy",9KDK6PJM8,CONTRATADO,VENDEDOR,2.9530240221131335e-4
480,52,"Salas-Dominguez, Meriah",EDRAKTNGZ,CONTRATADO,VENDEDOR,3.0462703496289095e-4
481,24,"Galvan, Angelo",63P513OX9,CONTRATADO,VENDEDOR,1.7424196135812708e-4
482,69,"Bobian Jr, Sara",5985C0C3F,DESLIGADO,VENDEDOR,3.357834745030452e-4
483,41,"Cordova, Anthony",VV9ZU8JP4,CONTRATADO,VENDEDOR,4.6254986113119617e-4
484,71,"Sobrevilla, Dominique",DLJTBTQHF,CONTRATADO,VENDEDOR,6.434048428795435e-4
485,15,"Trujillo, Gabriela",2AXRIUFRK,CONTRATADO,VENDEDOR,9.199913125485182e-5
486,72,"Flores, Joshua",XTIAWFNHJ,CONTRATADO,VENDEDOR,9.172916954733151e-4
487,91,"Contreras, Erika",LMQWGCUJN,CONTRATADO,GERENTE,2.5428556126142876e-5
488,89,"Jamison, Rocio",EOXH1KZG0,CONTRATADO,VENDEDOR,8.522325163623762e-4
489,36,"Serafin, Lourdes",8UWC883QP,DESLIGADO,GERENTE,0.0011846432395806183
490,80,"Vega, Alfredo",1RTDOANC1,CONTRATADO,VENDEDOR,5.025603640824557e-5
491,68,"Juarez, Leonardo",V0R28ZE8B,CONTRATADO,VENDEDOR,2.9888267068374643e-4
492,3,"Espino, Marlesala",7DG7E5WR5,CONTRATADO,VENDEDOR,5.078166634325904e-5
493,1,"Moreno, Dalia",KFXIQ4F9B,CONTRATADO,VENDEDOR,1.6518657598644495e-4
494,31,"Luna, Darin",1L4EKKWAB,CONTRATADO,VENDEDOR,2.8262627234864723e-4
495,12,"Aragon, Francisco",0ASA2NT4C,CONTRATADO,VENDEDOR,0.0013747353672309117
496,26,"Cabrera Lebron, Kianna",3N8OS977T,DESLIGADO,VENDEDOR,2.1037068087607623e-4
497,40,"Garcia, Ian",7EARGT3FF,CONTRATADO,VENDEDOR,4.705994568380858e-6
498,63,"Guerrero, Travis",SUH245SHF,CONTRATADO,VENDEDOR,3.187343554494627e-4
499,13,"Payen, Ana",Z8RYGRTPM,DESLIGADO,VENDEDOR,3.625816855411578e-4
500,58,"Avitia, Nathanial",AE6UC6O5V,CONTRATADO,GERENTE,2.0121015328913928e-4
501,66,"Velasquez Lopez, Antonio",YLQL4CABE,CONTRATADO,GERENTE,3.616296484031318e-4
502,84,"Chavez, Nicole",3JHF22HRX,CONTRATADO,VENDEDOR,9.198864037507704e-4
503,97,"Paul, Amber",WSRLIDPI1,CONTRATADO,VENDEDOR,6.709479882977106e-4
504,57,"Vialpando, Casey",ZS1CMD1E3,CONTRATADO,VENDEDOR,2.6001673322170976e-4
505,80,"Guadron, Michael",P0D12P8FY,PESSOA JURIDICA,VENDEDOR,0.0016814990593974882
506,97,"Zapien-Mata, Rikki",TQ2CNY1WD,CONTRATADO,VENDEDOR,1.0856831897337543e-4
507,67,"Mora, Jaylene",NHL5O6M63,PESSOA JURIDICA,VENDEDOR,1.2355014961212875e-4
508,58,"Bugg, Vanessa",9530Z04NT,CONTRATADO,VENDEDOR,1.4949810821563006e-4
509,35,"Orozco, Merari",U9TP0D1ZI,CONTRATADO,VENDEDOR,3.5731643995452414e-4
510,34,"Arellano, Karla",W325RUNZQ,CONTRATADO,GERENTE,8.323925621807576e-5
511,90,"Gomez, Ryan",M4XZIW96P,CONTRATADO,GERENTE,4.827053286135197e-6
512,12,"Quintana, Manuel",5618AQLWJ,CONTRATADO,GERENTE,5.876248842540239e-4
513,64,"Orozco, Emily",Q3AJDNOHW,DESLIGADO,GERENTE,3.9682841898808105e-4
514,35,"Hernandez, Kayla",3QWU2LGR2,CONTRATADO,VENDEDOR,3.0712686033579e-4
515,97,"Holt, Jessica",80QJL64KS,CONTRATADO,VENDEDOR,0.0014117423079067712
516,89,"Mora-Mejia, Bryan",E15BOK3PK,PESSOA JURIDICA,VENDEDOR,4.3297577240825833e-4
517,39,"Ruiz, Brianna",MCLHLR37U,CONTRATADO,VENDEDOR,3.878521174192429e-5
518,42,"Tovar, Daniel",KV246J8SY,CONTRATADO,VENDEDOR,8.582188179732559e-5
519,19,"Gallegos, Juan",GR12IUAIC,PESSOA JURIDICA,VENDEDOR,1.487481661140919e-4
520,8,"Moreno, Serafin",Q90LBA1O3,CONTRATADO,GERENTE,1.0011673606140066e-4
521,77,"Alvarado, Taylor",SAKZRL08A,CONTRATADO,GERENTE,3.1935838235724455e-4
522,74,"Romero, Lynabel",UXK7OI9L6,CONTRATADO,VENDEDOR,0.0011757340624948952
523,93,"Serrato, Sandra",9F1BSL3FJ,CONTRATADO,GERENTE,1.511930575594306e-4
524,33,"Gutierrez, David",IOO873E2S,DESLIGADO,VENDEDOR,1.5548301488161088e-4
525,83,"Alvarado, Marlena",GK8IFW02T,CONTRATADO,VENDEDOR,7.847505621612072e-6
526,64,"Deras, Hector",YQVRVL1I8,CONTRATADO,VENDEDOR,1.867360233519592e-4
527,85,"Paz, Jesus",XGC39QFUF,CONTRATADO,VENDEDOR,1.4061916451901197e-4
528,55,"Haro, Claudio",3E9MYRRLS,CONTRATADO,VENDEDOR,4.282273259013891e-5
529,20,"Gallegos, Sonia",VW2EH8ZFU,CONTRATADO,VENDEDOR,2.0921359561398788e-4
